gpu_cost_scale,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_epsilon_mean,scaled_gpu_cost_mean,num_tp_configs,avg_tp_degree,tp_1_count,tp_2_count,tp_4_count,tp_8_count
0.6,1.2,OPTIMAL,0.2848789691925049,0.0,299.08794285530905,225.3231787848729,45.43619897476265,1.6695323356873963,43.766666639075254,28.328565095673383,0.0,75.33676437564665,15.191584970291997,9.471650654061307,0.0,6,5,25,0,0.0,37.31329896417889,0.05845539711213175,0.10400000000000002,0.6938584060267943,5,6.44,1,0,2,2
0.6,1.3,OPTIMAL,0.3259091377258301,0.0,299.08794285530905,225.3231787848729,45.43619897476265,1.6695323356873963,43.766666639075254,28.328565095673387,0.0,75.33676437564665,15.191584970291997,9.471650654061307,0.0,6,5,25,0,0.0,37.31329896417889,0.05845539711213175,0.11266666666666669,0.6938584060267943,5,6.44,1,0,2,2
0.6,1.4,OPTIMAL,0.33713698387145996,0.0,284.13136758181446,215.24135282537125,45.43619897476265,1.6695323356873963,43.766666639075254,23.453815781680458,0.0,75.75416774897033,15.991264660942258,8.254567590087367,0.0,6,5,25,0,0.0,35.290112878257645,0.06269928834183293,0.12133333333333333,0.6938584060267943,5,6.44,1,0,2,2
0.7,0.4,OPTIMAL,0.5548038482666016,0.0,927.2538325472512,351.9690581921253,43.28819948842331,2.7428031229150083,40.5453963655083,68.3640351776013,463.6325396891012,37.95822091403323,4.66843036598799,7.372742260854186,50.00060645912458,6,4,25,4,0.9784902781556052,101.25954793055683,0.030344842639318154,0.03466666666666667,0.8095014736979266,4,7.72,1,0,0,3
0.7,0.5,OPTIMAL,0.5777649879455566,0.0,668.0369367136457,293.36803980069243,42.009105425384476,2.146541574455224,39.862563850929256,47.27655903163958,285.38323245592915,43.9149429736465,6.288440521274903,7.076937880742467,42.719678624336126,6,5,25,3,0.588540872120836,55.824435300866085,0.036563007318233955,0.043333333333333335,0.8095014736979266,5,6.44,1,0,2,2
0.7,0.6,OPTIMAL,0.4652979373931885,0.0,556.0818970144074,293.36803980069243,44.65018942652894,2.146541574455224,42.50364785207372,53.50664289549121,164.55702489169468,52.756265106952696,8.029426900292009,9.62207962222243,29.592228370532837,6,5,25,1,0.28551102609725343,59.007491971131834,0.03788653147812435,0.05200000000000001,0.8095014736979266,5,6.44,1,0,2,2
0.7,0.7,OPTIMAL,0.24842333793640137,0.0,458.25720195080345,231.52757996057332,44.54778741023727,1.90803695507131,42.63975045516596,35.35743542227051,146.8243991577223,50.523500552737445,9.72113198016247,7.715631150313343,32.03973631678673,6,4,19,1,0.25474442605670694,39.94514593055782,0.04449030761132916,0.06066666666666667,0.8095014736979266,4,7.0,1,1,0,2
0.7,0.8,OPTIMAL,0.25527119636535645,0.0,402.71024959109405,225.6465148175307,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487918,95.55114369116988,56.031977096845374,11.159716764881686,9.081285584862343,23.72702055341057,6,4,19,1,0.16578389830508478,40.54307907423624,0.04551748272651962,0.06933333333333334,0.8095014736979266,4,7.0,1,1,0,2
0.7,0.9,OPTIMAL,0.3488788604736328,0.0,402.7102495910941,225.6465148175307,44.941323237514204,1.90803695507131,43.033286282442894,36.57126784487917,95.55114369116994,56.031977096845374,11.159716764881685,9.081285584862338,23.72702055341058,6,4,19,1,0.1657838983050849,40.54307907423624,0.04551748272651962,0.078,0.8095014736979266,4,7.0,1,1,0,2
0.7,1.0,OPTIMAL,0.3906879425048828,0.001605123265553032,373.27510223064553,284.0203458050627,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,76.08874637172221,12.190363775953053,5.748407420447778,5.972482431876936,6,5,23,1,0.03868034704125156,32.304482709540714,0.04386935405367639,0.08666666666666667,0.8095014736979266,5,6.478260869565218,1,1,1,2
