psi_delay,psi_error,status,solve_time,total_cost,gpu_rental_cost,storage_cost_model,storage_cost_data,storage_cost_total,delay_penalty,error_penalty,unmet_demand_penalty,total_gpus,workload_allocation,precision_FP16,precision_INT8,precision_INT4,avg_model_size_GB,error_rate,total_unmet_demand,num_active_configs,gpu_allocation,model_instances
1.3,0.5,OPTIMAL,6.7466959953308105,1394.223728158558,331.7458078801891,2.159038874398891,5.72938878802343,7.888427662422321,379.28460411398225,0.012562974383863123,675.2923255275805,28,"dict_values([1.0, 0.8743686868686874, 1.0, 0.662993920972645, 1.0, 0.6246819338422392])",8,20,0,53.14285714285714,0.012562974383863123,0.13965924305273805,4,"{'A6000_FP16': 8, 'A6000_INT8': 12, 'H100_80GB_INT8': 8}","{'Llama-3.1-8B': 12, 'Llama-3.1-70B': 8, 'Llama-3.2-11B-Vision': 8}"
1.3,0.7,OPTIMAL,8.19540810585022,985.1206518132343,221.09745619726246,2.0061862857541115,5.827106081040788,7.8332923667948995,260.2736996892203,0.02425755932952668,478.40813390872853,28,"dict_values([1.0, 1.0, 0.999999558040612, 0.6629938161797067, 0.9848484848484849, 0.635572522729025])",8,20,0,50.714285714285715,0.02425755932952668,0.11690559591922886,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 8, 'A6000_INT8': 16, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.1-70B': 8}"
1.3,0.9,OPTIMAL,4.944214105606079,801.0246429272444,209.50074017041172,0.8789007807287522,6.464627213606968,7.34352799433572,260.3145522835661,0.025184271279509996,306.3568637945762,20,"dict_values([1.0, 1.0, 1.0, 0.6953484826128711, 0.9848484862379205, 0.8431063502663001])",8,12,0,15.8,0.025184271279509996,0.07692419452011132,5,"{'H100_80GB_INT8': 4, 'A6000_FP16': 8, 'A6000_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 1}"
1.3,1.1,OPTIMAL,6.135786056518555,597.2277523766277,183.9440786762515,0.8789007807287522,6.955180074715164,7.834080855443917,275.6049801398372,0.03590542900381538,111.41624216222638,22,"dict_values([1.0, 1.0, 1.0, 0.8229149702714806, 0.9848484848484872, 0.9987568214313242])",10,12,0,15.636363636363637,0.03590542900381538,0.029514171621419893,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 10, 'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 2}"
1.3,1.3,OPTIMAL,2.9573071002960205,398.8975127643057,162.78772888745388,0.7833680871712791,6.986015528833992,7.769383616005271,192.97070428030744,0.04913628769440247,0.0,20,"dict_values([1.0, 1.0, 1.0, 0.962765957446809, 0.9896925307790454, 1.0])",11,9,0,15.600000000000001,0.04913628769440247,0.0,5,"{'A6000_INT8': 9, 'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'RTX_4090_FP16': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 2}"
1.3,1.5,OPTIMAL,4.6839048862457275,360.00321487070653,152.77488983415603,0.7833680871712791,6.99624772684297,7.7796158140142495,195.55585658933504,0.05681190466585285,0.0,22,"dict_values([1.0, 1.0, 1.0, 1.0, 1.0, 0.9947519083969463])",8,14,0,16.18181818181818,0.05681190466585285,0.0,4,"{'A6000_INT8': 14, 'A6000_FP16': 8}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 4}"
1.3,1.7,OPTIMAL,5.8626062870025635,322.02957417026994,139.74559470311476,0.592302700056333,7.0002518658520145,7.5925545659083475,151.10042074037216,0.05676838282117527,0.0,16,"dict_values([1.0, 0.984350111401939, 1.0, 1.0, 1.0, 1.0])",0,16,0,15.0,0.05676838282117527,0.0,4,"{'A6000_INT8': 14, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 4, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 4}"
1.3,1.9,OPTIMAL,6.159102916717529,263.12861269302925,100.43406427900172,0.49677000649885994,6.991546662607314,7.488316669106174,115.55435699329423,0.06281932275131814,0.0,10,"dict_values([0.9707599530577644, 1.0, 1.0, 1.0, 1.0, 1.0])",0,10,0,12.4,0.06281932275131814,0.0,3,"{'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 6, 'Llama-3.2-11B-Vision': 4}"
1.5,0.5,OPTIMAL,19.910107851028442,1394.2237281585574,331.7458078801891,2.159038874398891,5.72938878802343,7.888427662422321,379.28460411398055,0.01256297438425901,675.2923255275812,28,"dict_values([1.0, 0.874368686868687, 1.0, 0.662993920972645, 1.0, 0.6246819338422394])",8,20,0,53.14285714285714,0.01256297438425901,0.13965924305273814,4,"{'A6000_FP16': 8, 'A6000_INT8': 12, 'H100_80GB_INT8': 8}","{'Llama-3.1-8B': 12, 'Llama-3.1-70B': 8, 'Llama-3.2-11B-Vision': 8}"
1.5,0.7,OPTIMAL,9.058157205581665,985.0228326213892,221.09745619726246,2.006173939316555,5.827105384286646,7.8332793236032,260.1992918915589,0.0,478.4088647191411,28,"dict_values([1.0, 1.0, 0.9999996844733258, 0.6629876863217709, 0.9848484887670035, 0.6355725227290242])",8,20,0,50.714285714285715,0.0,0.11690578951096664,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 8, 'A6000_INT8': 16, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.1-70B': 8}"
1.5,0.9,OPTIMAL,4.9338788986206055,801.0246396780133,209.50074017041172,0.8789007807287522,6.464627213033624,7.343527993762376,260.3145521192007,0.025184271275162155,306.3568637947727,20,"dict_values([1.0000000033342458, 1.0, 1.0, 0.6953484826128701, 0.9848484848484867, 0.8431063502661706])",8,12,0,15.8,0.025184271275162155,0.07692419452015987,5,"{'H100_80GB_INT8': 4, 'A6000_FP16': 8, 'A6000_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 1}"
1.5,1.1,OPTIMAL,4.768305778503418,597.2252512623378,183.9440786762515,0.8789007324998223,6.955180001753348,7.83408073425317,275.6033085011147,0.03506898667835751,111.41624356999101,22,"dict_values([1.0, 1.0, 0.9999996844733255, 0.8229149680339787, 0.9848484876279185, 0.998756821431324])",10,12,0,15.636363636363637,0.03506898667835751,0.02951417199433686,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 10, 'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 2}"
1.5,1.3,OPTIMAL,3.145089864730835,398.897512764307,162.78772888745388,0.7833680871712791,6.986015528833992,7.769383616005271,192.97070428030818,0.04913628769440247,0.0,20,"dict_values([1.0, 1.0, 1.0, 0.9627659574468082, 0.9896925307790454, 1.0])",11,9,0,15.600000000000001,0.04913628769440247,0.0,5,"{'A6000_INT8': 9, 'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'RTX_4090_FP16': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 2}"
1.5,1.5,OPTIMAL,3.9981908798217773,360.0032167571091,152.77488983415603,0.7833680871712791,6.99624772684297,7.7796158140142495,195.55585847573764,0.05681190466585285,0.0,22,"dict_values([1.0, 1.0, 1.0, 1.0, 1.0, 0.9947519083969463])",8,14,0,16.18181818181818,0.05681190466585285,0.0,4,"{'A6000_INT8': 14, 'A6000_FP16': 8}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 4}"
1.5,1.7,OPTIMAL,6.1997082233428955,322.0295638248438,139.74559470311476,0.592302700056333,7.000251804186536,7.592554504242869,151.10041020480472,0.056768380998266615,0.0,16,"dict_values([1.0, 0.9843501114019388, 1.0, 0.9999994867724378, 1.0, 1.0])",0,16,0,15.0,0.056768380998266615,0.0,4,"{'A6000_INT8': 14, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 4, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 4}"
1.5,1.9,OPTIMAL,6.728109121322632,263.12861269302965,100.43406427900172,0.49677000649885994,6.991546662607314,7.488316669106174,115.55435699329419,0.06281932275183777,0.0,10,"dict_values([0.9707599530577645, 1.0, 1.0, 1.0, 1.0, 1.0])",0,10,0,12.4,0.06281932275183777,0.0,3,"{'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 6, 'Llama-3.2-11B-Vision': 4}"
1.7,0.5,OPTIMAL,19.06684684753418,1360.3308435739618,328.86681159056457,1.031753090420709,6.503275166200599,7.535028256621309,376.3353976168281,0.009147548562800733,647.5844585613847,22,"dict_values([1.0, 0.88085456322564, 1.0, 0.38630471256272486, 1.0, 0.8874099411218881])",12,10,0,18.18181818181818,0.009147548562800733,0.14090513051492143,4,"{'A6000_FP16': 4, 'RTX_4090_FP16': 8, 'H100_80GB_INT8': 10}","{'Llama-3.1-8B': 14, 'Llama-3.2-11B-Vision': 8}"
1.7,0.7,OPTIMAL,7.642955780029297,923.8979218881205,261.9161140692291,2.1017192582644073,6.628023698754323,8.729742957018729,358.9110559194015,0.010961021285784321,294.33004792118527,28,"dict_values([1.0, 1.0, 1.0, 0.6629939209726444, 1.0, 0.8874099411218489])",8,20,0,51.42857142857143,0.010961021285784321,0.07493268965091777,4,"{'A6000_FP16': 8, 'A6000_INT8': 16, 'H100_80GB_INT8': 4}","{'Llama-3.1-8B': 20, 'Llama-3.1-70B': 8}"
