C_gpu_scale,psi_error,status,solve_time,total_cost,gap,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,avg_memory_util,max_memory_util,scaled_C_gpu_mean,scaled_epsilon_mean
1.0,0.6,OPTIMAL,0.5299570560455322,681.7931605053113,0.0,389.97251624826004,43.74497858654094,2.146541574455224,41.59843701208571,49.90769833520775,198.16796733530236,57.19806810018917,6.416165652662066,7.320064387008316,29.065701860140408,6.0,4.0,21.0,3.0,0.3993718176575504,55.461784737336124,0.03718550808995034,4.699943978410483,8.000000000000002,49.6,0.05200000000000001
1.0,0.8,OPTIMAL,0.3247568607330322,499.4158987986073,0.007448049067118544,322.3521640250439,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,64.54583540501872,8.998777040463642,7.322808090982857,19.13257946353476,6.0,4.0,19.0,1.0,0.16578389830508478,40.54307907423624,0.04551748272651962,4.39115,8.000000000000002,49.6,0.06933333333333334
1.0,1.0,OPTIMAL,0.34600400924682617,494.9981075756725,0.008458219978272783,405.7433511500896,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,81.96866714042172,9.192680163937798,4.334839537145134,4.5038131584953245,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,3.918102902871671,7.615914514358353,49.6,0.08666666666666667
1.0,1.2,OPTIMAL,0.36516690254211426,448.4337982311098,0.0,372.4492792204848,45.43619897476265,1.6695323356873963,43.766666639075254,30.54832003586226,0.0,83.05557714196539,10.132197696513979,6.812225161520619,0.0,6.0,5.0,21.0,0.0,0.0,42.115743409883265,0.05672398446706706,3.485786666666667,7.835000000000003,49.6,0.10400000000000002
1.0,1.4,OPTIMAL,0.3291652202606201,426.75600565128076,0.0,355.6462359546487,45.43619897476265,1.6695323356873963,43.766666639075254,25.673570721869336,0.0,83.33713673505075,10.646879803231256,6.015983461717989,0.0,6.0,5.0,21.0,0.0,0.0,40.092557323962005,0.06096787569676824,3.485786666666667,7.835000000000003,49.6,0.12133333333333333
1.0,1.6,OPTIMAL,0.3597221374511719,406.18810919856975,0.0,328.9245307370344,44.88989083459515,1.1925230969195688,43.69736773767558,18.28872520298888,14.084962423951376,80.97837511443149,11.051502941128739,4.50252599443974,3.4675959500000477,6.0,3.0,13.0,1.0,0.04459030975088518,25.28255713085652,0.0744674233019565,3.9845556366685853,7.835000000000003,49.6,0.1386666666666667
1.0,1.8,OPTIMAL,0.28769397735595703,386.2503380798866,0.0069097520647988485,326.6838292047058,44.959189735994826,1.1925230969195688,43.766666639075254,14.607319139186014,0.0,84.57826362785967,11.639909484479492,3.7818268876608316,0.0,6.0,4.0,15.0,0.0,0.0,25.2315028866484,0.08155376995644416,3.1285666666666674,7.835000000000003,49.6,0.156
1.0,2.0,OPTIMAL,0.21663212776184082,369.9901362919646,0.009285880654603241,312.1214874711983,44.959189735994826,1.1925230969195688,43.766666639075254,12.909459084771466,0.0,84.3594076856413,12.151456302747725,3.4891360116109755,0.0,6.0,3.0,13.0,0.0,0.0,22.78608559518935,0.08265774078787826,3.9954000000000005,7.835000000000003,49.6,0.17333333333333334
1.5,0.4,OPTIMAL,0.8625519275665283,915.6331623063686,0.0,424.9619114974031,44.10138121978236,3.3390646713747927,40.76231654840757,42.86276061245333,403.70710897672967,46.41180867968737,4.816490166072223,4.681215401207973,44.09048575303242,6.0,4.0,17.0,3.0,0.7483154771672724,72.03115734791511,0.028787157004839543,3.7329372886564585,7.973333333333333,74.4,0.03466666666666667
1.5,0.6,OPTIMAL,0.28273677825927734,557.8156592409555,0.0,244.88423674370048,44.13031380316373,2.146541574455224,41.9837722287085,28.317656718353426,240.48345197573778,43.90056691433247,7.911271953751496,5.07652595427072,43.1116351776453,6.0,3.0,17.0,2.0,0.4498991106376238,38.32364156609976,0.04028507966254505,5.320492117927012,8.0,74.4,0.05200000000000001
1.5,0.8,OPTIMAL,0.23401427268981934,443.57310587076887,0.0,274.33347364485957,45.257262977936236,2.146541574455224,43.11072140348101,38.52014368795089,85.46222556002205,61.84628193504235,10.202887050397853,8.684057526962285,19.26677348759749,6.0,3.0,17.0,1.0,0.14827934406480825,41.33790131320293,0.039116613493701505,4.497609553784048,7.866000000000001,74.4,0.06933333333333334
